,0
552,"
"
553,겁
554,이
555,많아
556,"
"
557,겁
558,이
559,많은
560,"
"
561,겁
562,이
563,많음
564,"
"
565,겁쟁이
566,"
"
567,게걸
568,스럽게
569,"
"
570,게걸
571,스럽게
572,돌아다니는
573,"
"
574,게걸
575,스럽게
576,돌아다니다
577,"
"
578,게을러빠지다
579,"
"
580,게을러터지다
581,"
"
582,격노
583,"
"
584,격노하다
585,"
"
586,격분
587,"
"
588,격분
589,하다
590,"
"
591,격하
592,게
593,"
"
594,격하
595,게
596,되다
597,"
"
598,격
599,하시
600,키다
601,"
"
602,격
603,한
604,"
"
605,격
606,한
607,감정
608,이
609,"
"
610,격
611,한
612,기운
613,이
614,"
"
615,격
616,한
617,느낌
618,이
619,"
"
620,견디기
621,어렵게
622,"
"
623,견디
624,기
625,가
626,어려울
627,"
"
628,견딜
629,수
630,없는
631,"
"
632,결
633,딴
634,날
635,"
"
636,결
637,딴
638,날
639,듯이
640,"
"
641,결석
642,"
"
643,결석
644,하다
645,"
"
646,결핍
647,"
"
648,결핍
649,증
650,"
"
651,겹
652,거나
653,"
"
654,겹
655,게
656,"
"
657,겹
658,게
659,여기
660,다
661,"
"
662,경련
663,을
664,일으키다
665,"
"
666,경련
667,이
668,일어나
669,"
"
670,경망
671,스러우며
672,추잡하다
673,"
"
674,경망
675,스럽게
676,내
677,흔들거나
678,"
"
679,경망
680,스럽다
681,"
"
682,경멸
683,"
"
684,경멸
685,하다
686,"
"
687,경멸
688,히
689,"
"
690,경멸
691,히
692,여겨
693,"
"
694,경박
695,스럽게
696,함부로
697,"
"
698,경상
699,"
"
700,경솔하고
701,방정
702,맞게
703,"
"
704,계속
705,부정
706,하다
707,"
"
708,계속
709,불평
710,을
711,"
"
712,고난
713,"
"
714,고단
715,하다
716,"
"
717,고단
718,하여
719,"
"
720,고달프다
721,"
"
722,고도화
723,"
"
724,고도화
725,되다
726,"
"
727,고
728,되다
729,"
"
730,고생
731,스러운
732,"
"
733,고생
734,하
735,거나
736,두려워하여
737,"
"
738,고약하게
739,"
"
740,고약하다
741,"
"
742,고약함
743,"
"
744,고약해서
745,"
"
746,고충
747,"
"
748,고통
749,"
"
